department_id,department_name,date_key,fiscal_year,fiscal_period,budget_category,monthly_budget,actual_spend,committed_amount,funding_source,last_updated_date,budget_variance,budget_utilization_pct,budget_variance_pct,is_over_budget
1,Finance & Accounting,20230701,2024,1,Personnel,212516.16,184968.6,13567.74,Operating Fund,2025-06-30,27547.56,87.04,12.96,False
1,Finance & Accounting,20230801,2024,2,Personnel,224003.52,207108.79,12564.6,Operating Fund,2025-06-30,16894.73,92.46,7.54,False
1,Finance & Accounting,20230901,2024,3,Personnel,229747.2,202948.72,11161.45,Operating Fund,2025-06-30,26798.48,88.34,11.66,False
1,Finance & Accounting,20231001,2024,4,Personnel,232619.04,222044.56,19352.93,Operating Fund,2025-06-30,10574.48,95.45,4.55,False
1,Finance & Accounting,20231101,2024,5,Personnel,238362.72,223694.35,4853.98,Operating Fund,2025-06-30,14668.37,93.85,6.15,False
1,Finance & Accounting,20231201,2024,6,Personnel,249850.08,227976.68,21742.94,Operating Fund,2025-06-30,21873.4,91.25,8.75,False
1,Finance & Accounting,20240101,2024,7,Personnel,226875.36,214055.41,5076.52,Operating Fund,2025-06-30,12819.95,94.35,5.65,False
1,Finance & Accounting,20240201,2024,8,Personnel,232619.04,213042.62,20168.28,Operating Fund,2025-06-30,19576.42,91.58,8.42,False
1,Finance & Accounting,20240301,2024,9,Personnel,241234.56,219527.15,19126.89,Operating Fund,2025-06-30,21707.41,91.0,9.0,False
1,Finance & Accounting,20240401,2024,10,Personnel,246978.24,221639.43,11146.21,Operating Fund,2025-06-30,25338.81,89.74,10.26,False
1,Finance & Accounting,20240501,2024,11,Personnel,258465.6,235362.04,15740.08,Operating Fund,2025-06-30,23103.56,91.06,8.94,False
1,Finance & Accounting,20240601,2024,12,Personnel,278568.48,255365.26,9250.42,Operating Fund,2025-06-30,23203.22,91.67,8.33,False
1,Finance & Accounting,20230701,2024,1,Professional Services,54842.88,50785.74,2952.78,Operating Fund,2025-06-30,4057.14,92.6,7.4,False
1,Finance & Accounting,20230801,2024,2,Professional Services,57807.36,53008.25,2698.8,Operating Fund,2025-06-30,4799.11,91.7,8.3,False
1,Finance & Accounting,20230901,2024,3,Professional Services,59289.6,51528.85,1914.59,Operating Fund,2025-06-30,7760.75,86.91,13.09,False
1,Finance & Accounting,20231001,2024,4,Professional Services,60030.72,54916.52,3880.03,Operating Fund,2025-06-30,5114.2,91.48,8.52,False
1,Finance & Accounting,20231101,2024,5,Professional Services,61512.96,56816.69,4445.55,Operating Fund,2025-06-30,4696.27,92.37,7.63,False
1,Finance & Accounting,20231201,2024,6,Professional Services,64477.44,58170.21,5489.92,Operating Fund,2025-06-30,6307.23,90.22,9.78,False
1,Finance & Accounting,20240101,2024,7,Professional Services,58548.48,56460.15,4377.22,Operating Fund,2025-06-30,2088.33,96.43,3.57,False
1,Finance & Accounting,20240201,2024,8,Professional Services,60030.72,56003.52,4555.29,Operating Fund,2025-06-30,4027.2,93.29,6.71,False
1,Finance & Accounting,20240301,2024,9,Professional Services,62254.08,54638.04,4187.76,Operating Fund,2025-06-30,7616.04,87.77,12.23,False
1,Finance & Accounting,20240401,2024,10,Professional Services,63736.32,58604.11,3512.22,Operating Fund,2025-06-30,5132.21,91.95,8.05,False
1,Finance & Accounting,20240501,2024,11,Professional Services,66700.8,61063.41,3781.41,Operating Fund,2025-06-30,5637.39,91.55,8.45,False
